date,sleep_hours,step_count,resting_heart_rate,hrv_sdnn,heart_rate_avg,active_energy_burned,exercise_time_minutes,distance_walking_running,distance_cycling,walking_speed,vo2_max,dietary_energy_consumed,dietary_sugar,dietary_water,body_mass,height
2025-10-17 20:22:04.587350,8.15,11477.2,62.0,64.0,72,371.0,4.5,5.97,0.0,4.82,35.0,1932,55,2.03,74.4,175.0
2025-10-18 20:22:04.587350,7.0,12073.0,65.0,63.0,80,393.0,44.0,8.42,0.0,5.02,39.4,2165,52,2.28,74.6,175.1
2025-10-19 20:22:04.587350,6.55,7842.0,64.0,27.0,82,388.0,12.0,4.66,14.53,4.23,38.6,1709,45,2.06,74.4,175.1
2025-10-20 20:22:04.587350,7.07,6020.0,61.0,41.0,67,273.0,0.0,4.43,0.0,5.16,39.6,2031,52,2.41,74.2,175.0
2025-10-21 20:22:04.587350,8.77,12142.0,62.0,41.0,79,482.0,46.0,8.6,0.0,4.6,33.8,1599,47,3.36,73.8,175.0
2025-10-22 20:22:04.587350,7.31,12190.0,65.0,47.0,76,501.0,28.0,8.67,11.37,5.54,41.2,1819,60,1.81,74.1,174.9
2025-10-23 20:22:04.587350,8.32,12411.0,60.0,69.0,77,440.0,22.0,8.05,0.0,4.16,37.9,2095,64,1.69,73.9,174.9
2025-10-24 20:22:04.587350,4.67,2000.0,68.0,44.0,79,202.0,0.0,0.86,0.0,5.37,39.8,1522,38,3.24,74.0,175.0
2025-10-25 20:22:04.587350,7.95,8264.0,64.0,57.0,69,337.0,22.0,6.31,0.0,4.6,36.6,2132,30,2.4,74.3,175.0
2025-10-26 20:22:04.587350,7.33,10664.0,60.0,66.0,66,432.0,15.0,7.45,0.0,4.17,39.1,1994,22,2.17,74.6,175.1
2025-10-27 20:22:04.587350,7.27,6136.0,61.0,33.0,76,281.0,23.0,4.64,0.0,4.26,36.6,2165,57,3.02,74.3,174.9
2025-10-28 20:22:04.587350,7.02,9025.0,62.0,33.0,78,385.0,0.0,6.33,0.0,4.34,37.3,2067,33,2.2,73.8,175.1
2025-10-29 20:22:04.587350,4.79,6567.0,68.0,33.0,78,273.0,24.0,4.61,6.69,4.71,41.1,2409,17,3.41,74.2,175.0
2025-10-30 20:22:04.587350,6.51,5816.0,66.0,52.0,84,193.0,6.0,4.54,0.0,4.76,38.0,2037,55,2.84,74.5,175.0
2025-10-31 20:22:04.587350,7.11,8416.0,68.0,52.0,74,360.0,16.0,5.63,0.0,4.21,38.6,1871,87,2.26,73.9,174.9
2025-11-01 20:22:04.587350,8.45,3734.0,64.0,41.0,78,243.0,0.0,2.66,6.39,4.49,39.6,2036,49,3.58,74.0,174.8
2025-11-02 20:22:04.587350,6.58,5173.0,65.0,44.0,73,274.0,4.0,3.39,6.77,5.57,39.1,2162,62,2.2,74.1,175.1
2025-11-03 20:22:04.587350,6.27,6282.0,66.0,30.0,77,330.0,6.0,4.18,2.45,5.36,38.6,2014,51,2.87,73.8,175.1
2025-11-04 20:22:04.587350,6.75,4751.0,62.0,52.0,77,164.0,9.0,3.17,11.92,4.72,39.0,2012,48,2.65,74.2,175.0
2025-11-05 20:22:04.587350,7.92,12637.0,63.0,60.0,73,455.0,39.0,8.96,0.0,4.52,42.0,1789,63,3.15,74.0,175.0
2025-11-06 20:22:04.587350,7.76,5632.0,63.0,43.0,76,218.0,4.0,3.7,0.0,4.56,38.4,1801,45,3.28,74.1,175.1
2025-11-07 20:22:04.587350,6.39,6325.0,67.0,40.0,87,255.0,2.0,5.06,0.0,4.81,38.8,1579,54,2.52,73.7,174.8
2025-11-08 20:22:04.587350,8.33,9031.0,61.0,43.0,73,415.0,19.0,5.87,0.0,3.99,40.1,2524,54,2.12,73.9,174.9
